customer_id,customer_name,email,city,registration_date,segment,rfm_segment,recency_days,frequency,monetary,rfm_score,lifetime_value,avg_order_value,last_purchase_date
CUST10000,Кузнецов Алексей,customer0@example.com,Новосибирск,2023-10-17,Potential Loyalists,R5F1M5,15,1,7441.35,515,19382.53,7441.35,2026-01-07 13:25:23.613598
CUST10001,Иванов Иван,customer1@example.com,Санкт-Петербург,2023-11-24,Potential Loyalists,R3F2M5,70,3,5945.88,325,10868.81,1981.96,2025-11-13 13:25:23.613598
CUST10002,Андреев Сергей,customer2@example.com,Екатеринбург,2023-06-02,Potential Loyalists,R3F1M5,78,1,5656.33,315,12295.8,5656.33,2025-11-05 13:25:23.613598
CUST10003,Попов Дмитрий,customer3@example.com,Новосибирск,2022-10-12,Loyal Customers,R5F3M5,1,6,7011.58,535,12781.9,1168.6,2026-01-21 13:25:23.613598
CUST10004,Попов Дмитрий,customer4@example.com,Ростов-на-Дону,2022-12-11,Potential Loyalists,R5F2M4,14,3,3861.28,524,7324.0,1287.09,2026-01-08 13:25:23.613598
CUST10005,Васильев Иван,customer5@example.com,Омск,2022-02-14,Loyal Customers,R4F5M3,59,18,1335.78,453,2591.1,74.21,2025-11-24 13:25:23.613598
CUST10006,Андреев Иван,customer6@example.com,Москва,2023-10-06,Loyal Customers,R3F4M5,80,12,5815.79,345,14492.33,484.65,2025-11-03 13:25:23.613598
CUST10007,Васильев Дмитрий,customer7@example.com,Самара,2022-10-24,Loyal Customers,R5F3M5,11,8,8678.19,535,21292.17,1084.77,2026-01-11 13:25:23.613598
CUST10008,Михайлов Дмитрий,customer8@example.com,Санкт-Петербург,2023-01-09,Champions,R5F4M4,21,12,3617.18,544,8730.77,301.43,2026-01-01 13:25:23.613598
CUST10009,Васильев Дмитрий,customer9@example.com,Омск,2022-06-25,Loyal Customers,R3F3M3,69,8,1717.68,333,3142.37,214.71,2025-11-14 13:25:23.613598
CUST10010,Федоров Дмитрий,customer10@example.com,Челябинск,2022-11-29,Loyal Customers,R5F3M5,8,8,8235.85,535,15661.38,1029.48,2026-01-14 13:25:23.613598
CUST10011,Алексеев Сергей,customer11@example.com,Самара,2022-08-05,Loyal Customers,R3F4M4,73,11,2205.0,344,3780.05,200.45,2025-11-10 13:25:23.613598
CUST10012,Андреев Сергей,customer12@example.com,Ростов-на-Дону,2022-05-23,Champions,R4F5M5,32,18,5435.88,455,11410.45,301.99,2025-12-21 13:25:23.613598
CUST10013,Федоров Иван,customer13@example.com,Санкт-Петербург,2022-08-13,Champions,R5F5M4,18,17,4985.81,554,8621.77,293.28,2026-01-04 13:25:23.613598
CUST10014,Васильев Сергей,customer14@example.com,Ростов-на-Дону,2022-06-13,Loyal Customers,R3F4M5,88,14,6004.45,345,17978.41,428.89,2025-10-26 13:25:23.613598
CUST10015,Иванов Иван,customer15@example.com,Омск,2023-06-26,Champions,R4F5M5,33,18,8621.72,455,22643.36,478.98,2025-12-20 13:25:23.613598
CUST10016,Сидоров Сергей,customer16@example.com,Москва,2023-10-19,Potential Loyalists,R4F2M4,44,4,3005.65,424,8808.73,751.41,2025-12-09 13:25:23.613598
CUST10017,Петров Дмитрий,customer17@example.com,Омск,2022-09-27,Loyal Customers,R3F3M5,65,6,5126.05,335,12371.49,854.34,2025-11-18 13:25:23.613598
CUST10018,Федоров Иван,customer18@example.com,Ростов-на-Дону,2022-06-06,Loyal Customers,R4F3M5,48,6,5439.85,435,10804.82,906.64,2025-12-05 13:25:23.613598
CUST10019,Федоров Дмитрий,customer19@example.com,Екатеринбург,2022-01-20,Champions,R5F4M5,15,12,8799.35,545,13963.58,733.28,2026-01-07 13:25:23.613598
CUST10020,Петров Алексей,customer20@example.com,Новосибирск,2023-08-04,Potential Loyalists,R5F2M5,11,3,7345.89,525,18288.51,2448.63,2026-01-11 13:25:23.613598
CUST10021,Сергеев Сергей,customer21@example.com,Екатеринбург,2023-07-17,Loyal Customers,R5F3M5,22,9,5323.97,535,15404.22,591.55,2025-12-31 13:25:23.613598
CUST10022,Михайлов Дмитрий,customer22@example.com,Самара,2023-12-08,Champions,R5F4M4,26,10,4050.02,544,11540.22,405.0,2025-12-27 13:25:23.613598
CUST10023,Попов Иван,customer23@example.com,Ростов-на-Дону,2023-04-08,Loyal Customers,R5F3M4,16,8,2324.5,534,5418.14,290.56,2026-01-06 13:25:23.613598
CUST10024,Михайлов Иван,customer24@example.com,Екатеринбург,2023-08-26,Potential Loyalists,R5F1M2,29,1,802.83,512,1285.41,802.83,2025-12-24 13:25:23.613598
CUST10025,Смирнов Сергей,customer25@example.com,Екатеринбург,2022-02-02,Potential Loyalists,R4F2M5,43,3,5190.15,425,11983.27,1730.05,2025-12-10 13:25:23.613598
CUST10026,Алексеев Сергей,customer26@example.com,Екатеринбург,2023-08-08,Loyal Customers,R3F5M4,74,16,2505.67,354,4113.03,156.6,2025-11-09 13:25:23.613598
CUST10027,Алексеев Иван,customer27@example.com,Санкт-Петербург,2023-11-06,Champions,R4F4M4,56,12,4293.43,444,6830.5,357.79,2025-11-27 13:25:23.613598
CUST10028,Николаев Сергей,customer28@example.com,Новосибирск,2022-12-14,Loyal Customers,R5F3M3,14,8,1996.74,533,4258.7,249.59,2026-01-08 13:25:23.613598
CUST10029,Петров Сергей,customer29@example.com,Омск,2022-10-13,Loyal Customers,R4F3M5,60,8,8757.41,435,14422.26,1094.68,2025-11-23 13:25:23.613598
CUST10030,Федоров Алексей,customer30@example.com,Новосибирск,2023-10-30,Potential Loyalists,R3F1M5,70,1,9693.06,315,20448.69,9693.06,2025-11-13 13:25:23.613598
CUST10031,Сидоров Сергей,customer31@example.com,Москва,2023-05-08,Champions,R5F4M5,28,13,9034.18,545,26903.47,694.94,2025-12-25 13:25:23.613598
CUST10032,Андреев Сергей,customer32@example.com,Новосибирск,2022-09-29,Champions,R4F4M4,59,10,4287.77,444,7653.02,428.78,2025-11-24 13:25:23.613598
CUST10033,Иванов Дмитрий,customer33@example.com,Москва,2022-08-11,Champions,R5F5M5,8,19,7383.8,555,11631.06,388.62,2026-01-14 13:25:23.613598
CUST10034,Николаев Иван,customer34@example.com,Новосибирск,2023-05-04,Loyal Customers,R3F5M3,65,17,1658.58,353,2658.35,97.56,2025-11-18 13:25:23.613598
CUST10035,Сергеев Алексей,customer35@example.com,Ростов-на-Дону,2022-03-11,Loyal Customers,R3F3M4,87,8,4097.38,334,9800.02,512.17,2025-10-27 13:25:23.613598
CUST10036,Сергеев Дмитрий,customer36@example.com,Казань,2023-09-27,Champions,R5F4M5,11,14,6607.99,545,11936.61,472.0,2026-01-11 13:25:23.613598
CUST10037,Михайлов Дмитрий,customer37@example.com,Самара,2022-11-18,Loyal Customers,R4F3M4,31,9,4018.28,434,7933.15,446.48,2025-12-22 13:25:23.613598
CUST10038,Сергеев Иван,customer38@example.com,Санкт-Петербург,2022-03-16,Champions,R5F5M5,2,15,6249.48,555,14414.12,416.63,2026-01-20 13:25:23.613598
CUST10039,Петров Алексей,customer39@example.com,Нижний Новгород,2023-06-03,Loyal Customers,R4F3M5,34,5,9339.27,435,18001.26,1867.85,2025-12-19 13:25:23.613598
CUST10040,Федоров Иван,customer40@example.com,Омск,2023-03-25,Loyal Customers,R3F4M5,70,10,6155.61,345,11997.7,615.56,2025-11-13 13:25:23.613598
CUST10041,Петров Алексей,customer41@example.com,Казань,2023-11-11,Loyal Customers,R5F3M4,14,5,2718.21,534,5226.13,543.64,2026-01-08 13:25:23.613598
CUST10042,Смирнов Сергей,customer42@example.com,Казань,2022-08-04,Loyal Customers,R4F3M5,44,7,6906.22,435,19738.01,986.6,2025-12-09 13:25:23.613598
CUST10043,Иванов Иван,customer43@example.com,Нижний Новгород,2022-02-22,Champions,R5F4M5,12,14,8310.55,545,22078.45,593.61,2026-01-10 13:25:23.613598
CUST10044,Николаев Сергей,customer44@example.com,Омск,2023-10-15,Loyal Customers,R4F3M5,34,6,7438.19,435,11265.17,1239.7,2025-12-19 13:25:23.613598
CUST10045,Попов Алексей,customer45@example.com,Челябинск,2022-03-19,Loyal Customers,R3F3M5,89,5,5501.34,335,9303.7,1100.27,2025-10-25 13:25:23.613598
CUST10046,Кузнецов Алексей,customer46@example.com,Санкт-Петербург,2022-11-12,Potential Loyalists,R4F2M5,47,2,8999.35,425,18273.35,4499.68,2025-12-06 13:25:23.613598
CUST10047,Кузнецов Алексей,customer47@example.com,Новосибирск,2023-07-28,Champions,R4F5M5,53,20,7519.83,455,21221.89,375.99,2025-11-30 13:25:23.613598
CUST10048,Васильев Алексей,customer48@example.com,Казань,2022-01-26,Champions,R5F4M5,23,11,7845.63,545,13641.95,713.24,2025-12-30 13:25:23.613598
CUST10049,Алексеев Алексей,customer49@example.com,Екатеринбург,2023-12-20,Champions,R5F4M5,14,13,8734.45,545,23800.33,671.88,2026-01-08 13:25:23.613598
CUST10050,Кузнецов Алексей,customer50@example.com,Москва,2023-04-17,Champions,R4F4M5,45,10,8223.31,445,20476.45,822.33,2025-12-08 13:25:23.613598
CUST10051,Федоров Дмитрий,customer51@example.com,Нижний Новгород,2023-02-13,Loyal Customers,R4F3M5,43,9,8657.09,435,21315.69,961.9,2025-12-10 13:25:23.613598
CUST10052,Иванов Иван,customer52@example.com,Казань,2023-02-14,Loyal Customers,R3F5M4,87,18,3378.38,354,5972.48,187.69,2025-10-27 13:25:23.613598
CUST10053,Попов Дмитрий,customer53@example.com,Челябинск,2022-09-29,Potential Loyalists,R5F2M5,5,4,6006.06,525,14470.47,1501.51,2026-01-17 13:25:23.613598
CUST10054,Кузнецов Дмитрий,customer54@example.com,Москва,2023-06-08,Champions,R5F4M5,15,13,9005.1,545,23081.67,692.7,2026-01-07 13:25:23.613598
CUST10055,Андреев Алексей,customer55@example.com,Нижний Новгород,2022-01-02,Loyal Customers,R3F5M5,67,18,6899.89,355,14813.68,383.33,2025-11-16 13:25:23.613598
CUST10056,Петров Дмитрий,customer56@example.com,Омск,2023-11-12,Champions,R4F5M4,43,20,3207.76,454,6299.82,160.39,2025-12-10 13:25:23.613598
CUST10057,Николаев Алексей,customer57@example.com,Екатеринбург,2023-02-23,Champions,R4F4M5,42,13,7002.36,445,14919.72,538.64,2025-12-11 13:25:23.613598
CUST10058,Смирнов Сергей,customer58@example.com,Омск,2023-01-24,Loyal Customers,R3F3M5,87,6,6193.6,335,17036.03,1032.27,2025-10-27 13:25:23.613598
CUST10059,Сергеев Дмитрий,customer59@example.com,Самара,2022-11-08,Loyal Customers,R4F3M4,37,7,4355.89,434,9420.4,622.27,2025-12-16 13:25:23.613598
CUST10060,Федоров Алексей,customer60@example.com,Санкт-Петербург,2023-11-23,Champions,R5F5M4,28,17,4784.54,554,9213.5,281.44,2025-12-25 13:25:23.613598
CUST10061,Федоров Алексей,customer61@example.com,Казань,2023-11-11,Loyal Customers,R3F5M4,82,20,3418.36,354,6279.4,170.92,2025-11-01 13:25:23.613598
CUST10062,Алексеев Иван,customer62@example.com,Самара,2022-07-23,Potential Loyalists,R5F1M2,19,1,557.52,512,1182.86,557.52,2026-01-03 13:25:23.613598
CUST10063,Васильев Сергей,customer63@example.com,Челябинск,2023-10-07,Loyal Customers,R3F3M5,74,7,7211.62,335,13456.72,1030.23,2025-11-09 13:25:23.613598
CUST10064,Федоров Иван,customer64@example.com,Челябинск,2023-11-03,Potential Loyalists,R3F1M5,89,1,8937.33,315,16339.78,8937.33,2025-10-25 13:25:23.613598
CUST10065,Кузнецов Иван,customer65@example.com,Самара,2023-12-14,Loyal Customers,R3F5M2,67,15,597.16,352,1015.18,39.81,2025-11-16 13:25:23.613598
CUST10066,Сергеев Дмитрий,customer66@example.com,Самара,2023-04-21,Loyal Customers,R3F5M5,86,17,9880.14,355,23899.83,581.18,2025-10-28 13:25:23.613598
CUST10067,Сидоров Сергей,customer67@example.com,Самара,2023-06-01,Champions,R4F5M4,55,18,4514.54,454,8527.01,250.81,2025-11-28 13:25:23.613598
CUST10068,Николаев Сергей,customer68@example.com,Екатеринбург,2022-09-11,Loyal Customers,R3F3M5,82,9,7681.56,335,14686.34,853.51,2025-11-01 13:25:23.613598
CUST10069,Попов Иван,customer69@example.com,Новосибирск,2022-03-21,Loyal Customers,R4F3M4,37,8,2789.98,434,4816.19,348.75,2025-12-16 13:25:23.613598
CUST10070,Петров Сергей,customer70@example.com,Челябинск,2023-01-28,Loyal Customers,R3F3M5,89,5,7093.55,335,14161.01,1418.71,2025-10-25 13:25:23.613598
CUST10071,Васильев Сергей,customer71@example.com,Ростов-на-Дону,2023-04-23,Potential Loyalists,R4F2M4,54,2,2147.66,424,6269.22,1073.83,2025-11-29 13:25:23.613598
CUST10072,Попов Дмитрий,customer72@example.com,Челябинск,2022-01-21,Loyal Customers,R3F4M4,74,13,4822.1,344,13406.27,370.93,2025-11-09 13:25:23.613598
CUST10073,Кузнецов Сергей,customer73@example.com,Екатеринбург,2023-03-06,Loyal Customers,R3F5M5,69,18,8018.69,355,15310.92,445.48,2025-11-14 13:25:23.613598
CUST10074,Михайлов Сергей,customer74@example.com,Новосибирск,2023-05-13,Champions,R5F4M4,4,13,3427.68,544,9463.0,263.67,2026-01-18 13:25:23.613598
CUST10075,Васильев Иван,customer75@example.com,Санкт-Петербург,2022-05-11,Loyal Customers,R3F5M1,80,18,366.97,351,904.25,20.39,2025-11-03 13:25:23.613598
CUST10076,Васильев Дмитрий,customer76@example.com,Екатеринбург,2022-05-19,Loyal Customers,R4F3M2,60,6,597.82,432,1304.47,99.64,2025-11-23 13:25:23.613598
CUST10077,Васильев Дмитрий,customer77@example.com,Санкт-Петербург,2022-12-12,Loyal Customers,R4F3M5,49,9,7544.9,435,16639.97,838.32,2025-12-04 13:25:23.613598
CUST10078,Петров Иван,customer78@example.com,Москва,2023-07-07,Champions,R5F4M4,7,12,2319.8,544,6784.06,193.32,2026-01-15 13:25:23.613598
CUST10079,Сидоров Сергей,customer79@example.com,Санкт-Петербург,2022-07-24,Loyal Customers,R5F5M3,3,20,1608.59,553,3773.67,80.43,2026-01-19 13:25:23.613598
CUST10080,Сидоров Иван,customer80@example.com,Новосибирск,2022-08-12,Loyal Customers,R4F3M5,60,9,7692.29,435,22669.81,854.7,2025-11-23 13:25:23.613598
CUST10081,Сергеев Сергей,customer81@example.com,Челябинск,2022-04-21,Potential Loyalists,R3F1M5,75,1,9295.98,315,27071.82,9295.98,2025-11-08 13:25:23.613598
CUST10082,Михайлов Алексей,customer82@example.com,Санкт-Петербург,2022-07-23,Champions,R5F5M5,10,19,6937.08,555,17660.35,365.11,2026-01-12 13:25:23.613598
CUST10083,Федоров Иван,customer83@example.com,Нижний Новгород,2022-11-05,Loyal Customers,R3F5M5,88,20,8074.73,355,18564.75,403.74,2025-10-26 13:25:23.613598
CUST10084,Попов Иван,customer84@example.com,Челябинск,2023-11-09,Potential Loyalists,R4F2M5,48,3,5109.01,425,13965.47,1703.0,2025-12-05 13:25:23.613598
CUST10085,Алексеев Алексей,customer85@example.com,Челябинск,2022-04-19,Champions,R4F4M5,56,12,6392.29,445,11277.32,532.69,2025-11-27 13:25:23.613598
CUST10086,Николаев Сергей,customer86@example.com,Самара,2023-06-19,Loyal Customers,R3F3M5,84,9,6197.53,335,13345.53,688.61,2025-10-30 13:25:23.613598
CUST10087,Петров Дмитрий,customer87@example.com,Самара,2023-08-30,Champions,R4F4M5,35,11,8531.96,445,15918.89,775.63,2025-12-18 13:25:23.613598
CUST10088,Попов Иван,customer88@example.com,Самара,2023-04-21,Loyal Customers,R3F5M5,73,20,6715.07,355,18643.91,335.75,2025-11-10 13:25:23.613598
CUST10089,Смирнов Дмитрий,customer89@example.com,Казань,2022-07-06,Loyal Customers,R3F3M4,63,7,3612.77,334,10189.74,516.11,2025-11-20 13:25:23.613598
